,n_id,x,y,geometry,elevation,n_demand,dw_demand,lat,lon,cluster
95,R333,1175642.7199245917,-1309001.1460071,POINT (1175642.7199245917 -1309001.1460071),79.88353729248047,0,0.0,-87.49478787244969,32.428744621753246,-1
96,R334,1175692.1238627543,-1309088.0899597015,POINT (1175692.1238627543 -1309088.0899597015),77.80705261230469,0,0.0,-87.4943861521663,32.42790312903423,-1
97,R335,1175741.5278009172,-1309175.0339123034,POINT (1175741.5278009172 -1309175.0339123034),76.56367492675781,0,0.0,-87.49398443825363,32.427061634366645,-1
98,R336,1175790.3405566243,-1309262.3083082845,POINT (1175790.3405566243 -1309262.3083082845),77.43453979492188,0,0.0,-87.49358940571045,32.42621796637995,-1
99,R337,1175837.3006181677,-1309350.5782108915,POINT (1175837.3006181677 -1309350.5782108915),78.6344985961914,0,0.0,-87.49321524326676,32.425367849485795,-1
100,R338,1175882.2127611295,-1309439.9252836728,POINT (1175882.2127611295 -1309439.9252836728),80.81875610351562,0,0.0,-87.49286411714547,32.42451081202963,-1
101,R339,1175926.0598528532,-1309529.7966504993,POINT (1175926.0598528532 -1309529.7966504993),81.13300323486328,1,11.934821350944699,-87.49252492474974,32.423650495360306,0
102,R340,1175969.4761742542,-1309619.8800731476,POINT (1175969.4761742542 -1309619.8800731476),81.56558227539062,0,0.0,-87.49219056202223,32.42278885148661,0
103,R341,1176012.8924956552,-1309709.9634957958,POINT (1176012.8924956552 -1309709.9634957958),80.7339096069336,0,0.0,-87.49185620440093,32.42192720607007,0
104,R342,1176056.6941943117,-1309799.858694249,POINT (1176056.6941943117 -1309799.858694249),81.05548858642578,0,0.0,-87.49151753791142,32.421066731763496,0
105,R343,1175962.4861244967,-1309794.6706479848,POINT (1175962.4861244967 -1309794.6706479848),81.05548858642578,0,0.0,-87.4925023456101,32.42123726376831,0
106,R344,1175863.7998779379,-1309778.7162574264,POINT (1175863.7998779379 -1309778.7162574264),81.46299743652344,6,98.98804511148819,-87.49351963609152,32.42150982859377,0
107,R257,1175374.667244865,-1308861.3542025525,POINT (1175374.667244865 -1308861.3542025525),81.56798553466797,3,52.17545495498365,32.4304427,-87.495543,0
108,R26,1173432.1619538204,-1306350.5711925859,POINT (1173432.1619538204 -1306350.5711925859),90.88790130615234,4,104.79831824404803,32.455306,-87.513908,0
109,R27,1173432.1619538204,-1306350.5711925859,POINT (1173432.1619538204 -1306350.5711925859),90.88790130615234,0,0.0,32.4553249,-87.5144575,0
110,R243,1173416.074249281,-1306228.6150675002,POINT (1173416.074249281 -1306228.6150675002),87.55560302734375,0,0.0,32.4559737,-87.5144595,0
111,R131,1173469.1663055897,-1306609.2253458786,POINT (1173469.1663055897 -1306609.2253458786),91.27235412597656,6,161.4507321930887,32.454501,-87.514463,0
112,R345,1174224.6184470449,-1308814.1755966614,POINT (1174224.6184470449 -1308814.1755966614),83.83684539794922,1,31.36661248541806,-87.50946561501196,32.43228240036402,0
113,R29,1174353.3925845542,-1308672.6983844698,POINT (1174353.3925845542 -1308672.6983844698),81.64065551757812,2,31.46529053586287,32.4331842,-87.5095276,0
114,R197,1174242.6587856072,-1308922.4254054578,POINT (1174242.6587856072 -1308922.4254054578),85.99657440185547,6,82.39995456403746,32.430962,-87.507635,0
115,R240,1174206.0315470963,-1308715.92820911,POINT (1174206.0315470963 -1308715.92820911),84.00289154052734,5,77.44634440882702,32.4333762,-87.507917,0
116,R346,1174076.852939183,-1308847.296059141,POINT (1174076.852939183 -1308847.296059141),86.34559631347656,13,162.20105908358042,-87.51106668791257,32.432181181067726,0
117,R347,1174059.7147456708,-1308748.7782069338,POINT (1174059.7147456708 -1308748.7782069338),84.88970184326172,11,172.0899362417795,-87.51111306709535,32.4330834886695,0
118,R31,1172988.0148143622,-1309973.0348321574,POINT (1172988.0148143622 -1309973.0348321574),84.57620239257812,0,0.0,32.421044,-87.523911,-1
119,R348,1173003.7067936102,-1310071.7901843102,POINT (1173003.7067936102 -1310071.7901843102),82.46011352539062,1,49.31489329882653,-87.52403201444555,32.42265846413591,0
120,R349,1173461.6545955066,-1309908.3862836682,POINT (1173461.6545955066 -1309908.3862836682),82.3282699584961,0,0.0,-87.51898807163711,32.42351533098183,0
121,R350,1173362.6202420993,-1309922.244043861,POINT (1173362.6202420993 -1309922.244043861),81.39868927001953,0,0.0,-87.52004966268426,32.423521862904664,0
122,R351,1173263.5433259464,-1309935.8000272491,POINT (1173263.5433259464 -1309935.8000272491),80.93148803710938,0,0.0,-87.52111129108938,32.42353113437299,0
123,R352,1173164.4664097934,-1309949.3560106372,POINT (1173164.4664097934 -1309949.3560106372),81.77136993408203,1,4.524996847864312,-87.52217291907718,32.42354039450979,0
124,R33,1174225.3106806923,-1306881.7970975463,POINT (1174225.3106806923 -1306881.7970975463),86.1122055053711,3,49.71565763054832,32.450539,-87.506738,0
125,R34,1174355.8506470097,-1306861.15447909,POINT (1174355.8506470097 -1306861.15447909),86.52852630615234,1,88.53875251584738,32.45053,-87.505397,0
126,R72,1174188.7197205713,-1306471.15920858,POINT (1174188.7197205713 -1306471.15920858),82.61266326904297,0,0.0,32.452167,-87.506678,-1
