Solution Value: 1.84815e+06 
Out Node Elevation[R8] 84.0866 
Out Node Elevation[R9] 78.7729 
Out Node Elevation[R58] 72.9133 
Out Node Elevation[R66] 79.3408 
Out Node Elevation[R366f] 74.1701 
Out Node Elevation[R363] 81.3087 
Out Node Elevation[R201] 74.9562 
Out Node Elevation[R370] 81.7722 
Out Node Elevation[R280] 79.9049 
Out Node Elevation[R367] 74.422 
Out Node Elevation[R387] 74.458 
Out Node Elevation[R42] 74.6739 
Out Node Elevation[R7] 85.6227 
Out Node Elevation[R362] 78.3085 
Difference Between Node Elevations[R10] 0 
Difference Between Node Elevations[R384] 0 
Difference Between Node Elevations[R52] 0 
Difference Between Node Elevations[R285] 0 
Difference Between Node Elevations[R41] 0 
Difference Between Node Elevations[R284] 0 
Difference Between Node Elevations[R65] 0 
Difference Between Node Elevations[R261] 0 
Difference Between Node Elevations[R283] 0 
Difference Between Node Elevations[R383] 0 
Difference Between Node Elevations[R76] 0 
Difference Between Node Elevations[R146] 0 
Difference Between Node Elevations[R57] 0 
Difference Between Node Elevations[R100] 0 
Difference Between Node Elevations[R81] 0 
Difference Between Node Elevations[R313] 0 
Difference Between Node Elevations[R51] 0 
Difference Between Node Elevations[R366] 0 
Difference Between Node Elevations[R8] 0 
Difference Between Node Elevations[R9] 0 
Difference Between Node Elevations[R58] 0 
Difference Between Node Elevations[R66] 0 
Difference Between Node Elevations[R366f] 0 
Difference Between Node Elevations[R363] 0 
Difference Between Node Elevations[R201] 0 
Difference Between Node Elevations[R370] 0 
Difference Between Node Elevations[R280] 0 
Difference Between Node Elevations[R367] 0 
Difference Between Node Elevations[R387] 0 
Difference Between Node Elevations[R42] 0 
Difference Between Node Elevations[R7] 0 
Difference Between Node Elevations[R362] 0 
